Country,Week,Date,First death,Death,Death per 1 million,Lagged death per 1 million,Cases,Lagged cases,Cases per 1 million,Lagged cases per 1 million,Total Tests,Weakly Test,Weakly Tests per 1 millon,Stringency Index,First Lag Stringency Index,Second Lag Stringency Index,Population,UHC service coverage index,Population 65 and above,Smoking,Diabetes,"Mortality from CVD, cancer, diabetes or CRD",Unemployment,GHS Index,GHS Rapid response,GHS Health system,GHS Risk environment,Households with internet,Mobile subscriptions,Doctors,Nurses and midwives,Hospital beds,Capacity to isolate patients,Universal healthcare coverage,Health expenditure,Government effectiveness,Orderly transfers of power,Risk of social unrest,Risk of terrorism,Armed conflict,Government territorial control,International tensions,Poverty,Confidence in government,Urban population,Life expectancy,Government health expenditure,GDP per capita,Human Development Index,Democracy Index,Peace Index,Corruption Index,Rule of Law Index,Constraints on Government Powers,Absence of Corruption,Open Government,Fundamental Rights,Order and Security,Regulatory Enforcement,Civil Justice,Criminal Justice
Costa Rica,4,20200415,20200318,1,0.2,0,145,153,29,30.6,7065,1102,220,85.71,100,86,4999441,77,9.5,11.9,9.1,11.5,11.5,45.1,36.6,24.8,71.7,71.6,130,115,79.6,120,0,1,276.5,3,4,2,4,4,2,3,0.5,2,78.6,79.83,933,12145,0.8,8.1,3.3,56,0.68,0.76,0.66,0.7,0.79,0.68,0.67,0.62,0.57
Croatia,1,20200401,20200325,5,1.22,0.24,485,301,118.64,73.63,7680,4062,994,100,100,81,4087843,71,20.4,37,5.4,16.7,8.4,53.3,32.4,46.5,68.2,67.1,103,312.6,651.2,560,1,1,262,2,3,3,4,4,2,2,0.3,0,56.7,78.02,1334,14600,0.8,6.6,3.4,48,0.61,0.58,0.58,0.61,0.67,0.85,0.56,0.57,0.51
Croatia,2,20200408,20200325,12,2.94,1.22,415,485,101.52,118.64,13125,5445,1332,100,100,100,4087843,71,20.4,37,5.4,16.7,8.4,53.3,32.4,46.5,68.2,67.1,103,312.6,651.2,560,1,1,262,2,3,3,4,4,2,2,0.3,0,56.7,78.02,1334,14600,0.8,6.6,3.4,48,0.61,0.58,0.58,0.61,0.67,0.85,0.56,0.57,0.51
Croatia,3,20200415,20200325,13,3.18,2.94,422,415,103.23,101.52,19256,6131,1500,100,100,100,4087843,71,20.4,37,5.4,16.7,8.4,53.3,32.4,46.5,68.2,67.1,103,312.6,651.2,560,1,1,262,2,3,3,4,4,2,2,0.3,0,56.7,78.02,1334,14600,0.8,6.6,3.4,48,0.61,0.58,0.58,0.61,0.67,0.85,0.56,0.57,0.51
Cuba,1,20200325,20200318,0,0,0.09,38,10,3.35,0.88,893,893,79,80.95,14,14,11338138,83,15.2,35.2,9.6,16.4,2.4,35.2,25.9,37.4,57.8,43,40.2,751.9,797.6,520,0,1,253.3,1,1,2,4,4,2,2,1,2,77,79.74,2202,9243,0.8,3,2.9,47,,,,,,,,,
Cuba,2,20200401,20200318,5,0.44,0,138,38,12.17,3.35,3342,2449,216,80.95,81,14,11338138,83,15.2,35.2,9.6,16.4,2.4,35.2,25.9,37.4,57.8,43,40.2,751.9,797.6,520,0,1,253.3,1,1,2,4,4,2,2,1,2,77,79.74,2202,9243,0.8,3,2.9,47,,,,,,,,,
Cuba,3,20200408,20200318,5,0.44,0.44,210,138,18.52,12.17,10725,7383,651,80.95,81,81,11338138,83,15.2,35.2,9.6,16.4,2.4,35.2,25.9,37.4,57.8,43,40.2,751.9,797.6,520,0,1,253.3,1,1,2,4,4,2,2,1,2,77,79.74,2202,9243,0.8,3,2.9,47,,,,,,,,,
Cuba,4,20200415,20200318,10,0.88,0.44,370,210,32.63,18.52,21837,11112,980,95.24,81,81,11338138,83,15.2,35.2,9.6,16.4,2.4,35.2,25.9,37.4,57.8,43,40.2,751.9,797.6,520,0,1,253.3,1,1,2,4,4,2,2,1,2,77,79.74,2202,9243,0.8,3,2.9,47,,,,,,,,,
Czech Republic,1,20200330,20200323,15,1.41,0.09,1664,867,156.54,81.56,48811,29187,2746,85.71,86,86,10629928,76,19.4,34.3,7,15,2.2,52,46.6,37.4,74,78.7,119,367.7,841.7,650,0,1,373.3,3,3,3,4,4,2,2,0,1,73.7,78.33,2034,23000,0.9,7.7,3.6,59,0.73,0.73,0.65,0.67,0.79,0.9,0.71,0.69,0.71
Czech Republic,2,20200406,20200323,51,4.8,1.41,1758,1664,165.38,156.54,91247,42436,3992,85.71,86,86,10629928,76,19.4,34.3,7,15,2.2,52,46.6,37.4,74,78.7,119,367.7,841.7,650,0,1,373.3,3,3,3,4,4,2,2,0,1,73.7,78.33,2034,23000,0.9,7.7,3.6,59,0.73,0.73,0.65,0.67,0.79,0.9,0.71,0.69,0.71
Czech Republic,3,20200413,20200323,71,6.68,4.8,1404,1758,132.08,165.38,131542,40295,3791,85.71,86,86,10629928,76,19.4,34.3,7,15,2.2,52,46.6,37.4,74,78.7,119,367.7,841.7,650,0,1,373.3,3,3,3,4,4,2,2,0,1,73.7,78.33,2034,23000,0.9,7.7,3.6,59,0.73,0.73,0.65,0.67,0.79,0.9,0.71,0.69,0.71
Denmark,1,20200322,20200315,12,2.07,0.17,462,828,79.74,142.92,11657,,,95.24,86,43,5793636,81,19.8,19.1,8.3,11.3,5,70.4,58.4,63.8,80.3,97.1,121.7,365.5,1701.4,250,1,1,698.4,4,4,3,2,4,2,3,0.1,2,87.8,80.7,4284,61049,0.9,9.2,3.7,88,0.9,0.94,0.95,0.88,0.92,0.93,0.9,0.86,0.83
Denmark,2,20200329,20200315,52,8.98,2.07,875,462,151.03,79.74,20198,8541,1474,95.24,95,86,5793636,81,19.8,19.1,8.3,11.3,5,70.4,58.4,63.8,80.3,97.1,121.7,365.5,1701.4,250,1,1,698.4,4,4,3,2,4,2,3,0.1,2,87.8,80.7,4284,61049,0.9,9.2,3.7,88,0.9,0.94,0.95,0.88,0.92,0.93,0.9,0.86,0.83
Denmark,3,20200405,20200315,96,16.57,8.98,1876,875,323.8,151.03,43734,23536,4062,95.24,95,95,5793636,81,19.8,19.1,8.3,11.3,5,70.4,58.4,63.8,80.3,97.1,121.7,365.5,1701.4,250,1,1,698.4,4,4,3,2,4,2,3,0.1,2,87.8,80.7,4284,61049,0.9,9.2,3.7,88,0.9,0.94,0.95,0.88,0.92,0.93,0.9,0.86,0.83
Denmark,4,20200412,20200315,99,17.09,16.57,1919,1876,331.23,323.8,70125,26391,4555,95.24,95,95,5793636,81,19.8,19.1,8.3,11.3,5,70.4,58.4,63.8,80.3,97.1,121.7,365.5,1701.4,250,1,1,698.4,4,4,3,2,4,2,3,0.1,2,87.8,80.7,4284,61049,0.9,9.2,3.7,88,0.9,0.94,0.95,0.88,0.92,0.93,0.9,0.86,0.83
Denmark,5,20200419,20200315,86,14.84,17.09,1246,1919,215.06,331.23,94277,24152,4169,95.24,95,95,5793636,81,19.8,19.1,8.3,11.3,5,70.4,58.4,63.8,80.3,97.1,121.7,365.5,1701.4,250,1,1,698.4,4,4,3,2,4,2,3,0.1,2,87.8,80.7,4284,61049,0.9,9.2,3.7,88,0.9,0.94,0.95,0.88,0.92,0.93,0.9,0.86,0.83
Dominican Republic,1,20200324,20200317,5,0.47,0.09,291,16,27.38,1.51,,,,76.19,38,24,10627165,74,7.1,13.7,8.6,19,5.9,38.3,47.3,16.1,59.3,63.9,81.4,149.4,133.4,160,0,1,418,1,2,3,4,4,2,2,0.4,1,80.3,73.86,428,7470,0.7,6.5,3,30,0.48,0.47,0.39,0.53,0.58,0.63,0.42,0.45,0.36
Dominican Republic,2,20200331,20200317,36,3.39,0.47,589,291,55.42,27.38,,,,85.71,76,38,10627165,74,7.1,13.7,8.6,19,5.9,38.3,47.3,16.1,59.3,63.9,81.4,149.4,133.4,160,0,1,418,1,2,3,4,4,2,2,0.4,1,80.3,73.86,428,7470,0.7,6.5,3,30,0.48,0.47,0.39,0.53,0.58,0.63,0.42,0.45,0.36
